"","Airport.Name","Flight.Status","Count"
"1","Böblingen Flugfeld","Cancelled",13
"2","Kiunga Airport","Cancelled",13
"3","Mae Hong Son Airport","Cancelled",13
"4","Yangzhou Taizhou Airport","Cancelled",13
"5","Capital City Airport","Cancelled",12
"6","Circle Hot Springs Airport","Cancelled",12
"7","Danilo Atienza Air Base","Cancelled",12
"8","Klagenfurt Airport","Cancelled",12
"9","Marion Municipal Airport","Cancelled",12
"10","Santa Maria Airport","Cancelled",12
"11","Aguenar – Hadj Bey Akhamok Airport","Cancelled",11
"12","Amchitka Army Airfield","Cancelled",11
"13","Bathurst Airport","Cancelled",11
"14","Buka Airport","Cancelled",11
"15","Faro Airport","Cancelled",11
"16","Herrera Airport","Cancelled",11
"17","Milas Bodrum International Airport","Cancelled",11
"18","Nogales International Airport","Cancelled",11
"19","Omidiyeh Airport","Cancelled",11
"20","Orange Walk Airport","Cancelled",11
"21","Plymouth Municipal Airport","Cancelled",11
"22","Qiemo Yudu Airport","Cancelled",11
"23","San Fernando Airport","Cancelled",11
"24","San Pedro Airport","Cancelled",11
"25","Teniente Vidal Airport","Cancelled",11
"26","Thakhek Airport","Cancelled",11
"27","Tumling Tar Airport","Cancelled",11
"28","Al Ain International Airport","Cancelled",10
"29","Baca Grande Airfield","Cancelled",10
"30","Bakel Airport","Cancelled",10
"31","Barquisimeto International Airport","Cancelled",10
"32","Bembridge Airport","Cancelled",10
"33","Ben Ya'akov Airport","Cancelled",10
"34","Ceres Airport","Cancelled",10
"35","Dalnerechensk Airport","Cancelled",10
"36","Daniel Field","Cancelled",10
"37","Diagoras Airport","Cancelled",10
"38","Erume Airport","Cancelled",10
"39","Fuyun Koktokay Airport","Cancelled",10
"40","Khwahan Airport","Cancelled",10
"41","Kiwai Airport","Cancelled",10
"42","Lansdowne House Airport","Cancelled",10
"43","Lonely Air Station","Cancelled",10
"44","Madison Municipal Airport","Cancelled",10
"45","Maimana Airport","Cancelled",10
"46","Nonouti Airport","Cancelled",10
"47","Otu Airport","Cancelled",10
"48","Pasir Pangaraan Airport","Cancelled",10
"49","Piedras Negras International Airport","Cancelled",10
"50","Sendai Airport","Cancelled",10
"51","Tshipise Airport","Cancelled",10
"52","Waterloo Airport","Cancelled",10
"53","Weam Airport","Cancelled",10
"54","Williams Lake Airport","Cancelled",10
"55","Alenquer Airport","Cancelled",9
"56","Anfa Airport","Cancelled",9
"57","Anggi Airport","Cancelled",9
"58","Arua Airport","Cancelled",9
"59","Auvergne Airport","Cancelled",9
"60","Babo Airport","Cancelled",9
"61","Baco Airport","Cancelled",9
"62","Bahawalnagar Airport","Cancelled",9
