"","Airport.Name","Total Flights","Delayed Flights","Delayed Percentage"
"1","28 de Noviembre Airport",16,5,31.25
"2","9 de Maio - Teixeira de Freitas Airport",10,4,40
"3","A Coruña Airport",11,2,18.1818181818182
"4","A L Mangham Jr. Regional Airport",11,3,27.2727272727273
"5","A P Hill AAF (Fort A P Hill) Airport",12,3,25
"6","AJ Eisenberg Airport",9,0,0
"7","Aachen-Merzbrück Airport",15,3,20
"8","Aalborg Airport",10,1,10
"9","Aarhus Airport",11,4,36.3636363636364
"10","Aasiaat Airport",11,3,27.2727272727273
"11","Aba Tenna Dejazmach Yilma International Airport",7,5,71.4285714285714
"12","Abaco I Walker C Airport",10,2,20
"13","Abadan Airport",13,4,30.7692307692308
"14","Abaiang Airport",11,5,45.4545454545455
"15","Abakan Airport",3,1,33.3333333333333
"16","Abau Airport",12,6,50
"17","Abbaye Airport",6,1,16.6666666666667
"18","Abbeville",14,3,21.4285714285714
"19","Abbotsford Airport",12,4,33.3333333333333
"20","Abbse Airport",12,7,58.3333333333333
"21","Abdul Rachman Saleh Airport",9,3,33.3333333333333
"22","Abeche Airport",13,4,30.7692307692308
"23","Abeid Amani Karume International Airport",14,3,21.4285714285714
"24","Abel Santamaria Airport",10,4,40
"25","Abemama Atoll Airport",8,0,0
"26","Abengourou Airport",10,4,40
"27","Aberdeen Dyce Airport",5,3,60
"28","Aberdeen Regional Airport",15,6,40
"29","Abha Regional Airport",16,4,25
"30","Abilene Regional Airport",15,3,20
"31","Abingdon Downs Airport",10,3,30
"32","Aboisso Airport",13,4,30.7692307692308
"33","Abou-Deïa Airport",12,3,25
"34","Abraham González International Airport",11,2,18.1818181818182
"35","Abraham Lincoln Capital Airport",12,3,25
"36","Abreojos Airport",15,2,13.3333333333333
"37","Abresso Airport",11,5,45.4545454545455
"38","Abu Dhabi International Airport",9,4,44.4444444444444
"39","Abu Musa Island Airport",10,4,40
"40","Abu Rudeis Airport",8,2,25
"41","Abu Simbel Airport",7,2,28.5714285714286
"42","Acadiana Regional Airport",9,4,44.4444444444444
"43","Acaricuara Airport",6,4,66.6666666666667
"44","Accomack County Airport",8,1,12.5
"45","Achinsk Airport",6,1,16.6666666666667
"46","Achmad Yani Airport",9,1,11.1111111111111
"47","Achutupo Airport",19,3,15.7894736842105
"48","Ada Regional Airport",14,5,35.7142857142857
"49","Adado Airport",11,8,72.7272727272727
"50","Adak Airport",14,6,42.8571428571429
"51","Adam Airport",8,3,37.5
"52","Adampur Airport",9,4,44.4444444444444
"53","Adana Airport",11,3,27.2727272727273
"54","Adareil Airport",3,2,66.6666666666667
"55","Addington Field",8,4,50
"56","Addis Ababa Bole International Airport",9,2,22.2222222222222
"57","Addison Airport",10,1,10
"58","Adelaide International Airport",7,4,57.1428571428571
"59","Aden Adde International Airport",12,4,33.3333333333333
"60","Aden International Airport",9,3,33.3333333333333
"61","Adi Sumarmo Wiryokusumo Airport",9,2,22.2222222222222
"62","Adi Sutjipto International Airport",7,4,57.1428571428571
"63","Adirondack Regional Airport",17,2,11.7647058823529
"64","Adnan Menderes International Airport",11,2,18.1818181818182
"65","Adolfo Suárez Madrid–Barajas Airport",7,2,28.5714285714286
"66","Adolino Bedin Regional Airport",10,4,40
"67","Adıyaman Airport",7,4,57.1428571428571
"68","Aek Godang Airport",12,4,33.3333333333333
"69","Aeroclube Airport",21,6,28.5714285714286
"70","Aeroclube de Bento Gonçalves Airport",10,1,10
"71","Aerodromo Goncalves Lobato (Viseu Airport)",12,3,25
"72","Aerodromo de Chaves",10,4,40
"73","Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",6,2,33.3333333333333
"74","Aerotortuguero Airport",9,5,55.5555555555556
"75","Afonso Pena Airport",11,1,9.09090909090909
"76","Afore Airstrip",10,2,20
"77","Afton Municipal Airport",19,8,42.1052631578947
"78","Afutara Aerodrome",8,2,25
"79","Afyon Airport",12,2,16.6666666666667
"80","Agartala Airport",10,0,0
"81","Agatti Airport",12,7,58.3333333333333
"82","Agaun Airport",13,4,30.7692307692308
"83","Agen-La Garenne Airport",7,3,42.8571428571429
"84","Aggeneys Airport",12,3,25
"85","Aghajari Airport",11,4,36.3636363636364
"86","Agnew Airport",14,7,50
"87","Agostinho Neto Airport",9,5,55.5555555555556
"88","Agra Airport",7,3,42.8571428571429
"89","Agrinion Air Base",17,6,35.2941176470588
"90","Agropecuária Castanhais Airport",14,2,14.2857142857143
"91","Aguaclara Airport",12,3,25
"92","Aguas Claras Airport",8,4,50
"93","Aguenar – Hadj Bey Akhamok Airport",18,1,5.55555555555556
"94","Aguni Airport",14,5,35.7142857142857
"95","Ahe Airport",8,1,12.5
"96","Ahmed Al Jaber Air Base",12,3,25
"97","Ahuas Airport",7,5,71.4285714285714
"98","Ahwaz Airport",9,2,22.2222222222222
"99","Aiambak Airport",9,3,33.3333333333333
"100","Aiken Regional Airport",6,3,50
"101","Ailinglaplap Airok Airport",9,3,33.3333333333333
"102","Ailuk Airport",13,2,15.3846153846154
"103","Ain Arnat Airport",12,5,41.6666666666667
"104","Ain el Beida Airport",18,4,22.2222222222222
"105","Ainsworth Regional Airport",10,6,60
"106","Aiome Airport",8,5,62.5
"107","Aioun el Atrouss Airport",10,3,30
"108","Aishalton Airport",10,4,40
"109","Aitape Airport",9,1,11.1111111111111
"110","Aitutaki Airport",10,2,20
"111","Aiyura Airport",11,4,36.3636363636364
"112","Ajaccio-Napoléon Bonaparte Airport",12,8,66.6666666666667
"113","Akanu Ibiam International Airport",10,5,50
"114","Akhiok Airport",9,2,22.2222222222222
"115","Akiachak Airport",11,5,45.4545454545455
"116","Akiak Airport",10,3,30
"117","Akieni Airport",14,3,21.4285714285714
"118","Akita Airport",9,5,55.5555555555556
"119","Akjoujt Airport",12,2,16.6666666666667
"120","Aklavik/Freddie Carmichael Airport",9,4,44.4444444444444
"121","Akola Airport",6,2,33.3333333333333
"122","Akron Canton Regional Airport",18,7,38.8888888888889
"123","Akron Fulton International Airport",13,4,30.7692307692308
"124","Aksu Airport",7,2,28.5714285714286
"125","Aktau Airport",13,5,38.4615384615385
"126","Aktion National Airport",7,2,28.5714285714286
"127","Aktobe Airport",13,3,23.0769230769231
"128","Akulivik Airport",17,7,41.1764705882353
"129","Akunaq Heliport",9,3,33.3333333333333
"130","Akure Airport",11,2,18.1818181818182
"131","Akureyri Airport",7,4,57.1428571428571
"132","Akutan Seaplane Base",10,3,30
"133","Akwa Ibom International Airport",12,1,8.33333333333333
"134","Al Ahsa Airport",13,1,7.69230769230769
"135","Al Ain International Airport",18,4,22.2222222222222
"136","Al Asad Air Base",10,2,20
"137","Al Baha Airport",9,4,44.4444444444444
"138","Al Dhafra Air Base",13,5,38.4615384615385
"139","Al Ghaidah International Airport",6,2,33.3333333333333
"140","Al Maktoum International Airport",11,2,18.1818181818182
"141","Al Massira Airport",6,2,33.3333333333333
"142","Al Minhad Air Base",10,2,20
"143","Al Najaf International Airport",10,1,10
"144","Al Qaisumah/Hafr Al Batin Airport",10,3,30
"145","Al Taqaddum Air Base",11,5,45.4545454545455
"146","Al Thaurah Airport",14,5,35.7142857142857
"147","Al Udeid Air Base",7,0,0
"148","Al Wajh Domestic Airport",17,4,23.5294117647059
"149","Al-Bayda Airport",8,3,37.5
"150","Al-Bough Airport",5,2,40
"151","Al-Jawf Domestic Airport",8,4,50
"152","Alagoinhas Airport",10,3,30
"153","Alakanuk Airport",6,2,33.3333333333333
"154","Alama Iqbal International Airport",11,4,36.3636363636364
"155","Alameda Naval Air Station",12,4,33.3333333333333
"156","Alamogordo White Sands Regional Airport",10,5,50
"157","Alashankou Bole (Bortala) airport",4,0,0
"158","Albacete-Los Llanos Airport",13,1,7.69230769230769
"159","Albany Airport",6,4,66.6666666666667
"160","Albany International Airport",11,1,9.09090909090909
"161","Alberni Valley Regional Airport",11,3,27.2727272727273
"162","Albert J Ellis Airport",8,2,25
"163","Albert Lea Municipal Airport",13,5,38.4615384615385
"164","Albert Whitted Airport",13,6,46.1538461538462
"165","Albert-Bray Airport",15,6,40
"166","Alberto Alcolumbre Airport",10,5,50
"167","Alberto Carnevalli Airport",4,1,25
"168","Alberto Delgado Airport",15,4,26.6666666666667
"169","Alberto Lleras Camargo Airport",10,6,60
"170","Albertus Airport",9,4,44.4444444444444
"171","Albi-Le Séquestre Airport",4,2,50
"172","Albina Airport",9,3,33.3333333333333
"173","Albuquerque International Sunport",6,2,33.3333333333333
"174","Albury Airport",8,2,25
"175","Alcides Fernández Airport",10,0,0
"176","Aldan Airport",12,3,25
"177","Alderney Airport",5,3,60
"178","Alegrete Novo Airport",11,5,45.4545454545455
"179","Alejandro Velasco Astete International Airport",5,2,40
"180","Aleknagik / New Airport",10,3,30
"181","Alenquer Airport",15,3,20
"182","Aleppo International Airport",8,4,50
"183","Alert Airport",10,3,30
"184","Alert Bay Airport",11,1,9.09090909090909
"185","Alerta Airport",11,3,27.2727272727273
"186","Alexander Bay Airport",13,6,46.1538461538462
"187","Alexander Field South Wood County Airport",5,2,40
"188","Alexander the Great International Airport",10,6,60
"189","Alexandra Airport",9,4,44.4444444444444
"190","Alexandria Homestead Airport",10,3,30
"191","Alexandria International Airport",12,7,58.3333333333333
"192","Alferez Armando Rodriguez Airport",13,5,38.4615384615385
"193","Alferez FAP Alfredo Vladimir Sara Bauer Airport",10,4,40
"194","Alferez Fap David Figueroa Fernandini Airport",9,3,33.3333333333333
"195","Alfonso Bonilla Aragon International Airport",11,4,36.3636363636364
"196","Alfonso López Pumarejo Airport",14,5,35.7142857142857
"197","Alfredo Vásquez Cobo International Airport",12,1,8.33333333333333
"198","Algeciras Heliport",11,5,45.4545454545455
"199","Alghero-Fertilia Airport",9,5,55.5555555555556
"200","Algona Municipal Airport",9,2,22.2222222222222
"201","Ali-Sabieh Airport",8,1,12.5
"202","Alicante International Airport",10,3,30
"203","Alice Arm/Silver City Seaplane Base",9,3,33.3333333333333
"204","Alice International Airport",8,4,50
"205","Alice Springs Airport",10,4,40
"206","Alitak Seaplane Base",15,2,13.3333333333333
"207","Allah Valley Airport",10,6,60
"208","Allahabad Airport",10,3,30
"209","Allakaket Airport",8,3,37.5
"210","Alldays Airport",4,2,50
"211","Allegheny County Airport",11,6,54.5454545454545
"212","Allen Army Airfield",9,2,22.2222222222222
"213","Allen C Perkinson Blackstone Army Air Field",12,4,33.3333333333333
"214","Alliance Municipal Airport",9,5,55.5555555555556
"215","Alligandi Airport",14,7,50
"216","Alluitsup Paa Heliport",12,4,33.3333333333333
"217","Alma Airport",12,7,58.3333333333333
"218","Almaty Airport",13,3,23.0769230769231
"219","Almería International Airport",13,6,46.1538461538462
"220","Almirante Marco Andres Zar Airport",9,2,22.2222222222222
"221","Almirante Padilla Airport",11,4,36.3636363636364
"222","Along Airport",12,1,8.33333333333333
"223","Alonso Valderrama Airport",8,2,25
"224","Alowe Airport",9,2,22.2222222222222
"225","Alpena County Regional Airport",11,4,36.3636363636364
"226","Alpha Airport",9,2,22.2222222222222
"227","Alpine Airstrip",7,4,57.1428571428571
"228","Alpine Casparis Municipal Airport",8,1,12.5
"229","Alroy Downs Airport",11,2,18.1818181818182
"230","Alta Airport",7,2,28.5714285714286
"231","Altai Airport",17,6,35.2941176470588
"232","Altamira Airport",8,3,37.5
"233","Altay Air Base",9,2,22.2222222222222
"234","Altenburg-Nobitz Airport",7,3,42.8571428571429
"235","Altiport L'Alpe d'Huez - Henri GIRAUD",11,4,36.3636363636364
"236","Alto Molocue Airport",13,4,30.7692307692308
"237","Alto Palena Airport",4,1,25
"238","Alto Parnaíba Airport",15,7,46.6666666666667
"239","Alton Downs Airport",7,2,28.5714285714286
"240","Altoona Blair County Airport",9,3,33.3333333333333
"241","Altus Air Force Base",13,4,30.7692307692308
"242","Altus Quartz Mountain Regional Airport",11,1,9.09090909090909
"243","Alula Airport",8,1,12.5
"244","Alverca Air Base",7,1,14.2857142857143
"245","Alxa Left Banner Bayanhot Airport",11,4,36.3636363636364
"246","Alxa Right Banner Badanjilin Airport",8,2,25
"247","Alzintan Airport",11,4,36.3636363636364
"248","Am Timan Airport",11,5,45.4545454545455
"249","Ama Airport",9,3,33.3333333333333
"250","Amado Nervo National Airport",13,2,15.3846153846154
"251","Amahai Airport",8,4,50
"252","Amakusa Airport",5,3,60
"253","Amalfi Airport",8,1,12.5
"254","Amami Airport",13,4,30.7692307692308
"255","Amanab Airport",12,4,33.3333333333333
"256","Amarais Airport",10,2,20
"257","Amasya Merzifon Airport",5,5,100
"258","Amata Airport",10,3,30
"259","Amazon Bay Airport",9,3,33.3333333333333
"260","Ambalabe Airport",13,5,38.4615384615385
"261","Ambatolhy Airport",10,1,10
"262","Ambatomainty Airport",10,3,30
"263","Ambatondrazaka Airport",9,2,22.2222222222222
"264","Ambilobe Airport",12,3,25
"265","Ambler Airport",15,3,20
"266","Ambohibary Airport",6,3,50
"267","Amborovy Airport",6,2,33.3333333333333
"268","Amboseli Airport",10,2,20
"269","Ambriz Airport",14,8,57.1428571428571
"270","Ambunti Airport",6,2,33.3333333333333
"271","Amchitka Army Airfield",25,10,40
"272","Amderma Airport",12,5,41.6666666666667
"273","Amedee Army Air Field",12,4,33.3333333333333
"274","American River Airport",6,3,50
"275","Amery Municipal Airport",6,1,16.6666666666667
"276","Ames Municipal Airport",14,4,28.5714285714286
"277","Amgu Airport",13,2,15.3846153846154
"278","Amman-Marka International Airport",10,4,40
"279","Ammaroo Airport",14,5,35.7142857142857
"280","Amook Bay Seaplane Base",14,3,21.4285714285714
"281","Amos/Magny Airport",5,0,0
"282","Ampampamena Airport",14,6,42.8571428571429
"283","Ampanihy Airport",13,4,30.7692307692308
"284","Ampara Airport",8,4,50
"285","Amsterdam Airport Schiphol",9,5,55.5555555555556
"286","Amílcar Cabral International Airport",9,3,33.3333333333333
"287","Anaa Airport",10,4,40
"288","Anaco Airport",16,5,31.25
"289","Anacortes Airport",8,2,25
"290","Anadolu Airport",13,7,53.8461538461538
"291","Anahim Lake Airport",13,6,46.1538461538462
"292","Anaktuvuk Pass Airport",5,2,40
"293","Analalava Airport",11,6,54.5454545454545
"294","Anapa Vityazevo Airport",7,1,14.2857142857143
"295","Ancona Falconara Airport",4,3,75
"296","Andahuaylas Airport",13,6,46.1538461538462
"297","Andakombe Airport",11,2,18.1818181818182
"298","Andamooka Airport",10,2,20
"299","Andapa Airport",7,5,71.4285714285714
"300","Andavadoaka Airport",8,0,0
"301","Andersen Air Force Base",9,3,33.3333333333333
"302","Anderson Municipal Darlington Field",9,1,11.1111111111111
"303","Anderson Regional Airport",11,4,36.3636363636364
"304","Andes Airport",18,3,16.6666666666667
"305","Andi Jemma Airport",9,7,77.7777777777778
"306","Andizhan Airport",11,5,45.4545454545455
"307","Andorra la Vella Heliport",7,1,14.2857142857143
"308","Andrau Airpark",9,3,33.3333333333333
"309","Andravida Air Base",12,4,33.3333333333333
"310","Andre Maggi Airport",12,4,33.3333333333333
"311","Andriamena Airport",11,2,18.1818181818182
"312","Andros Town Airport",10,5,50
"313","Andrés Miguel Salazar Marcano Airport",9,2,22.2222222222222
"314","Andrés Sabella Gálvez International Airport",8,1,12.5
"315","Andulo Airport",5,2,40
"316","Andøya Airport",14,6,42.8571428571429
"317","Aneityum Airport",8,2,25
"318","Anfa Airport",15,3,20
"319","Angads Airport",10,4,40
"320","Angama Airport",19,7,36.8421052631579
"321","Angel Albino Corzo International Airport",16,5,31.25
"322","Angel Fire Airport",8,2,25
"323","Angelina County Airport",9,3,33.3333333333333
"324","Angers-Loire Airport",11,4,36.3636363636364
"325","Anggi Airport",17,4,23.5294117647059
"326","Anglesey Airport",5,1,20
"327","Angoche Airport",9,4,44.4444444444444
"328","Angoon Seaplane Base",9,3,33.3333333333333
"329","Angoram Airport",7,2,28.5714285714286
"330","Angoulême-Brie-Champniers Airport",19,6,31.5789473684211
"331","Anguganak Airport",15,4,26.6666666666667
"332","Angus Downs Airport",9,2,22.2222222222222
"333","Aniak Airport",12,3,25
"334","Animas Air Park",12,7,58.3333333333333
"335","Aniwa Airport",17,8,47.0588235294118
"336","Ankang Wulipu Airport",9,4,44.4444444444444
"337","Ankavandra Airport",7,2,28.5714285714286
"338","Ankazoabo Airport",13,4,30.7692307692308
"339","Ann Airport",16,2,12.5
"340","Ann Arbor Municipal Airport",17,5,29.4117647058824
"341","Annai Airport",10,2,20
"342","Annanberg Airport",13,6,46.1538461538462
"343","Annecy-Haute-Savoie-Mont Blanc Airport",8,5,62.5
"344","Annemasse Airport",8,2,25
"345","Annette Island Airport",6,1,16.6666666666667
"346","Anniston Regional Airport",9,4,44.4444444444444
"347","Annobón Airport",11,5,45.4545454545455
"348","Anqing Tianzhushan Airport",14,6,42.8571428571429
"349","Anshan Air Base",9,3,33.3333333333333
"350","Anshun Huangguoshu Airport",12,6,50
"351","Antalya International Airport",13,2,15.3846153846154
"352","Anthony Lagoon Airport",8,3,37.5
"353","Anthony Municipal Airport",13,1,7.69230769230769
"354","Antlers Municipal Airport",6,2,33.3333333333333
"355","Antoine de Saint Exupéry Airport",8,3,37.5
"356","Antonio B. Won Pat International Airport",17,5,29.4117647058824
"357","Antonio Maceo International Airport",9,3,33.3333333333333
"358","Antonio Narino Airport",13,5,38.4615384615385
"359","Antonio Nery Juarbe Pol Airport",13,3,23.0769230769231
"360","Antonio Rivera Rodriguez Airport",9,4,44.4444444444444
"361","Antonio Roldan Betancourt Airport",14,3,21.4285714285714
"362","Antrim County Airport",13,3,23.0769230769231
"363","Antsalova Airport",4,1,25
"364","Antsirabato Airport",15,7,46.6666666666667
"365","Antsirabe Airport",11,3,27.2727272727273
"366","Antsoa Airport",5,4,80
"367","Antwerp International Airport (Deurne)",13,3,23.0769230769231
"368","Antônio Guerreiro Airport",16,7,43.75
"369","Anuha Island Resort Airport",8,5,62.5
"370","Anuradhapura Air Force Base",14,4,28.5714285714286
"371","Anvik Airport",12,5,41.6666666666667
"372","Anyang Airport",7,1,14.2857142857143
"373","Anápolis Airport",10,3,30
"374","Aomori Airport",9,2,22.2222222222222
"375","Aosta Airport",12,2,16.6666666666667
"376","Apalachicola Regional Airport",8,3,37.5
"377","Apalapsili Airport",11,2,18.1818181818182
"378","Apataki Airport",9,0,0
"379","Apolo Airport",6,3,50
"380","Apple Valley Airport",13,4,30.7692307692308
"381","Appleton International Airport",9,3,33.3333333333333
"382","April Point Seaplane Base",9,5,55.5555555555556
"383","April River Airport",7,3,42.8571428571429
"384","Aqaba King Hussein International Airport",11,6,54.5454545454545
"385","Ar Horqin Airport",16,6,37.5
"386","Arad International Airport",11,4,36.3636363636364
"387","Aragarças Airport",6,2,33.3333333333333
