"","Airport.Name","Flight.Status","Count"
"1","Santa Maria Airport","Delayed",17
"2","Santa Rosa Airport","Delayed",16
"3","San Pedro Airport","Delayed",15
"4","Santa Ana Airport","Delayed",14
"5","Lake County Airport","Delayed",13
"6","Sawan Airport","Delayed",13
"7","Visby Airport","Delayed",13
"8","Chu Lai International Airport","Delayed",12
"9","Grant County Airport","Delayed",12
"10","La Florida Airport","Delayed",12
"11","Bentota River Waterdrome","Delayed",11
"12","Bradshaw Army Airfield","Delayed",11
"13","Kokshetau Airport","Delayed",11
"14","Kramatorsk Airport","Delayed",11
"15","Las Brujas Airport","Delayed",11
"16","Punta Colorada Airport","Delayed",11
"17","Rennes-Saint-Jacques Airport","Delayed",11
"18","Seosan Air Base","Delayed",11
"19","Sundsvall-Härnösand Airport","Delayed",11
"20","Tampa International Airport","Delayed",11
"21","Ürümqi Diwopu International Airport","Delayed",11
"22","Amchitka Army Airfield","Delayed",10
"23","Bol Airport","Delayed",10
"24","Böblingen Flugfeld","Delayed",10
"25","Capital City Airport","Delayed",10
"26","Caucaya Airport","Delayed",10
"27","Cochrane Airport","Delayed",10
"28","Conklin (Leismer) Airport","Delayed",10
"29","Converse County Airport","Delayed",10
"30","Cornélio Procópio Airport","Delayed",10
"31","Dawei Airport","Delayed",10
"32","Diego Jimenez Torres Airport","Delayed",10
"33","Emden Airport","Delayed",10
"34","Frederick Regional Airport","Delayed",10
"35","Fremont Municipal Airport","Delayed",10
"36","Heraklion International Nikos Kazantzakis Airport","Delayed",10
"37","Hermannsburg Airport","Delayed",10
"38","Horn Island Airport","Delayed",10
"39","Horta Airport","Delayed",10
"40","Jeon Ju Airport (G-703)","Delayed",10
"41","Koolatah Airport","Delayed",10
"42","Lanzhou Zhongchuan Airport","Delayed",10
"43","Lawrence Municipal Airport","Delayed",10
"44","Lindeman Island Airport","Delayed",10
"45","Malé International Airport","Delayed",10
"46","Marion Municipal Airport","Delayed",10
"47","Mejit Atoll Airport","Delayed",10
"48","Melilla Airport","Delayed",10
"49","Mission Field","Delayed",10
"50","Mosteiros Airport","Delayed",10
"51","Mui River Airport","Delayed",10
"52","Pemba Airport","Delayed",10
"53","Peppimenarti Airport","Delayed",10
"54","Queenstown Airport","Delayed",10
"55","Tivat Airport","Delayed",10
"56","Touggourt Sidi Madhi Airport","Delayed",10
"57","Zhangye Ganzhou Airport","Delayed",10
"58","Avon Park Executive Airport","Delayed",9
"59","Ballalae Airport","Delayed",9
"60","Bam Airport","Delayed",9
"61","Barnaul Airport","Delayed",9
"62","Bathurst Airport","Delayed",9
"63","Baudette International Airport","Delayed",9
"64","Bay City Municipal Airport","Delayed",9
"65","Benito Salas Airport","Delayed",9
"66","Bhavnagar Airport","Delayed",9
"67","Borama Airport","Delayed",9
"68","Burevestnik Airport","Delayed",9
"69","Centennial Airport","Delayed",9
"70","Centenário do Sul Airport","Delayed",9
"71","Ceres Airport","Delayed",9
"72","Dawson Community Airport","Delayed",9
"73","Doomadgee Airport","Delayed",9
"74","Dubuque Regional Airport","Delayed",9
"75","Echuca Airport","Delayed",9
"76","Faleolo International Airport","Delayed",9
"77","Filadelfia Airport","Delayed",9
"78","Gary Chicago International Airport","Delayed",9
"79","Gillette Campbell County Airport","Delayed",9
"80","Great Falls International Airport","Delayed",9
"81","Greenvale Airport","Delayed",9
"82","Herrera Airport","Delayed",9
"83","Kaiapit Airport","Delayed",9
"84","Kyle Oakley Field","Delayed",9
"85","Le Touquet-Côte d'Opale Airport","Delayed",9
"86","Leeuwarden Air Base","Delayed",9
"87","Limbang Airport","Delayed",9
"88","Lorraine Airport","Delayed",9
"89","Malabo Airport","Delayed",9
"90","Maputo Airport","Delayed",9
"91","Martubah Airport","Delayed",9
"92","McGhee Tyson Airport","Delayed",9
"93","Mecheria Airport","Delayed",9
"94","Menominee Regional Airport","Delayed",9
"95","Middleton Island Airport","Delayed",9
"96","Moanamani Airport","Delayed",9
"97","Moba Airport","Delayed",9
"98","Mopti Airport","Delayed",9
"99","Mukhaizna Airport","Delayed",9
"100","Mulka Airport","Delayed",9
"101","Nagasaki Airport","Delayed",9
"102","New Amsterdam Airport","Delayed",9
